Modell;Auris_Touring_Sports_1.8_Hybrid;Corolla_Touring_Sports_1.8_Hybrid;RAV4_gen5_2.5_Hybrid;RAV4_gen4_2.5_Hybrid;Prius_1.8_Hybrid;Prius+_1.8_Hybrid
Grundpreis;30090;36000;46000;40090;32000;32900
Leistung_maximal_in_kW_(Systemleistung);100;103;160;145;100;100
Leistung_maximal_in_PS_(Systemleistung);136;140;218;197;136;136
Nennleistung_in_kW;73;72;131;114;73;73
Lange;4595;4650;4600;4605;4460;4645
Breite;1760;1790;1855;1845;1745;1775
Breite_(inkl._Außenspiegel);2045;2090;2160;2130;2045;2050
Höhe;1475;1435;1685;1675;1490;1600
Radstand;2600;2700;2690;2660;2700;2780
Bodenfreiheit_maximal;140;135;190;177;n.b.;n.b.
Wendekreis;11,4;10,4;11,8;12,0;11,2;12,4
Kofferraumvolumen_normal_liter;547;596;580;530;505;445
Leergewicht_(EU);1410;1485;1745;1700;1445;1575
Zul._Gesamtgewicht;1815;1885;2135;2205;1805;2115
Zuladung;405;400;390;505;360;540
Anhängelast_gebremst_12%;345;750;800;800;75;75
Anhängelast_ungebremst;345;450;750;750;;
Stützlast;55;75;70;35;;
Dachlast;75;75;n.b.;85;;
Reifengröße;225/45R17;205/55R16V;225/65R17;225/60R18H;195/65R15;215/50R17
Beschleunigung_0-100km/h;11,2;9,2;8,4;8,3;10,4;11,3
Verbrauch_Gesamt_(NEFZ);4.3;3.9;5.1;5.5;4.1;4.1
CO2-Wert_(NEFZ);99;100;126;127;89;96
Tankgröße;45,0;43,0;55,0;56,0;45,0;45,0
Batteriekapazitat_(Brutto)_in_kWh;1,3;1,6;1,6;1,6;1;1
BauJahr;2018;2019;2019;2018;2020;2010
Preis;14000;19000;21000;18500;20000;7000